,Timestamp,Year of joining the Firm ( Eg: 2016) ,Industry Domain,Type ,Firm CTC,Duration of Employment?,Satisfaction in your Company ,Ability to Grow in the industry ,Choice
0,2020/01/17 4:53:33 PM GMT+5:30,2018,,0,2,2 Years,Very Satisfied,Mid Growth,Higher Studies
1,2020/01/17 5:05:02 PM GMT+5:30,2018,,0,2,< 1 Year,Not Satisfied,Low Growth,Work
2,2020/01/17 5:33:24 PM GMT+5:30,2019,,0,1,< 1 Year,Very Satisfied,High Growth,Work
3,2020/01/17 5:49:48 PM GMT+5:30,2019,,0,3,< 1 Year,Satisfied,Mid Growth,Work
4,2020/01/17 5:49:49 PM GMT+5:30,2018,,0,2,2 Years,Very Satisfied,High Growth,Work
5,2020/01/17 5:54:50 PM GMT+5:30,2016,,1,3,< 1 Year,Very Satisfied,High Growth,Work
6,2020/01/17 6:13:46 PM GMT+5:30,2018,,0,3,1 Year,Very Satisfied,High Growth,Work
7,2020/01/17 6:14:23 PM GMT+5:30,2018,,0,2,1 Year,Satisfied,Mid Growth,Work
8,2020/01/17 6:15:06 PM GMT+5:30,2017,,0,2,2 Years,Very Satisfied,Mid Growth,Higher Studies
9,2020/01/17 6:34:58 PM GMT+5:30,2019,,0,3,1 Year,Very Satisfied,High Growth,Work
10,2020/01/17 6:39:31 PM GMT+5:30,2018,Automobile,0,3,1 Year,Satisfied,High Growth,Higher Studies
11,2020/01/17 6:48:12 PM GMT+5:30,2016,Computer Science,1,3,< 1 Year,Satisfied,Mid Growth,Higher Studies
12,2020/01/17 7:23:45 PM GMT+5:30,2014,Automotive,1,2,1 Year,Not Satisfied,High Growth,Work
13,2020/01/17 7:42:59 PM GMT+5:30,2018,Service,0,2,1 Year,Very Satisfied,High Growth,Higher Studies
14,2020/01/17 7:45:46 PM GMT+5:30,2018,Software Testing,0,2,< 1 Year,Not Satisfied,Low Growth,Higher Studies
15,2020/01/17 7:56:24 PM GMT+5:30,2016,Operation analyst,0,3,1 Year,Very Satisfied,High Growth,Higher Studies
16,2020/01/17 7:58:45 PM GMT+5:30,2018,Software,1,3,< 1 Year,Satisfied,Mid Growth,Higher Studies
17,2020/01/17 8:16:16 PM GMT+5:30,2018,Tech services,0,3,1 Year,Not Satisfied,Low Growth,Higher Studies
18,2020/01/17 8:16:54 PM GMT+5:30,2018,Tech Services,0,2,< 1 Year,Not Satisfied,Low Growth,Higher Studies
19,2020/01/17 10:10:34 PM GMT+5:30,2017,Automotive Industry,0,2,2 Years,Very Satisfied,Mid Growth,Higher Studies
20,2020/01/18 10:57:35 PM GMT+5:30,2019,It services,0,1,< 1 Year,Not Satisfied,Low Growth,Work
21,2020/01/18 10:59:50 PM GMT+5:30,2019,Information Technology,0,1,< 1 Year,Very Satisfied,High Growth,Work
22,2020/01/18 11:02:11 PM GMT+5:30,2019,Telecom/R&D,0,2,< 1 Year,Very Satisfied,High Growth,Work
23,2020/01/18 11:07:12 PM GMT+5:30,2015,Machine Learning,0,1,< 1 Year,Very Satisfied,High Growth,Work
24,2020/01/18 11:10:04 PM GMT+5:30,2019,Data Backup and Engineering Solutions,1,2,< 1 Year,Very Satisfied,High Growth,Work
25,2020/01/18 11:35:14 PM GMT+5:30,2019,Software,0,1,< 1 Year,Very Satisfied,High Growth,Work
26,2020/01/19 12:52:38 AM GMT+5:30,2019,Software,1,2,< 1 Year,Very Satisfied,High Growth,Work
27,2020/01/19 12:58:09 AM GMT+5:30,2015,"UI, BIGDATA",1,2,2 Years,Very Satisfied,High Growth,Work
28,2020/01/19 4:11:21 AM GMT+5:30,2019,Consulting ,1,1,< 1 Year,Very Satisfied,High Growth,Work
29,2020/01/19 7:55:41 AM GMT+5:30,2005,Banking,0,3,3 Years,Satisfied,High Growth,Higher Studies
30,2020/01/19 9:24:08 AM GMT+5:30,2019,Technology consulting,1,1,< 1 Year,Very Satisfied,High Growth,Work
31,2020/01/19 10:23:24 AM GMT+5:30,2019,IT,1,1,< 1 Year,Satisfied,High Growth,Work
32,2020/01/19 10:38:34 AM GMT+5:30,2019,Travel Tech,0,1,< 1 Year,Very Satisfied,High Growth,Work
33,2020/01/19 12:17:00 PM GMT+5:30,2019,Healthcare,0,2,< 1 Year,Very Satisfied,High Growth,Work
34,2020/01/19 1:04:11 PM GMT+5:30,2019,Web Scrapiny,1,2,< 1 Year,Satisfied,High Growth,Work
35,2020/01/19 1:08:38 PM GMT+5:30,2019,Networking,0,1,< 1 Year,Very Satisfied,High Growth,Work
36,2020/01/19 5:47:15 PM GMT+5:30,2019,Insurance Domain,0,2,2 Years,Not Satisfied,Low Growth,Higher Studies
37,2020/01/19 6:46:07 PM GMT+5:30,2019,Gaming,1,2,< 1 Year,Very Satisfied,High Growth,Work
38,2020/01/20 8:33:01 AM GMT+5:30,2019,IT,1,2,< 1 Year,Satisfied,Mid Growth,Higher Studies
39,2020/01/20 10:26:22 AM GMT+5:30,2016,Web development,1,3,< 1 Year,Very Satisfied,High Growth,Work
40,2020/01/20 10:29:11 AM GMT+5:30,2019,IT,1,3,< 1 Year,Satisfied,Mid Growth,Work
41,2020/01/20 5:02:22 PM GMT+5:30,2019,IT,1,2,> 3 Years,Very Satisfied,High Growth,Work
42,2020/01/20 11:06:36 PM GMT+5:30,2019,Telecom,1,1,< 1 Year,Very Satisfied,High Growth,Work
43,2020/01/22 1:13:06 AM GMT+5:30,2019,Healthcare,0,1,< 1 Year,Very Satisfied,High Growth,Work
44,2020/01/22 1:32:59 PM GMT+5:30,2019,Telecommunication,0,2,< 1 Year,Satisfied,Mid Growth,Work
45,2020/01/22 11:35:27 PM GMT+5:30,2019,Consulting,0,2,< 1 Year,Very Satisfied,High Growth,Work
