Branch,Gender,10th%,12th%,Sem_1,Sem_2,Sem_3,Sem_4,Sem_5,Sem_6,Aggregate,Admission_Entrance_Exam,Company,Tier,No_of_Offers,Company Type
MECH,Male,FCD,FCD,FC,FC,FC,FC,FC,FC,FC,CET,accenture,3,1,MNC
ISE,Female,FCD,FC,FC,FC,FC,FC,FC,FC,FC,COMED-K,accenture,3,1,MNC
CSE,Male,FCD,FC,FC,FC,FC,FC,FC,FC,FC,COMED-K,accenture,3,1,MNC
ECE,Male,FCD,FCD,FC,SC,FC,FC,FC,SC,FC,COMED-K,accenture,3,1,MNC
CSE,Male,FCD,FCD,FCD,FCD,FC,FC,FC,FC,FC,CET,accenture,3,1,MNC
CSE,Female,FCD,FCD,FC,FC,FCD,FC,FC,FC,FC,CET,accenture,3,1,MNC
MECH,Female,FCD,FCD,FC,FC,FC,FC,SC,FC,FC,Management,accenture,3,1,MNC
ECE,Female,FCD,FCD,FC,FC,FC,SC,FC,FC,FC,CET,accenture,3,1,MNC
ISE,Female,FCD,FCD,FC,FC,FC,SC,SC,FC,FC,CET,accenture,3,1,MNC
CSE,Male,FCD,FCD,SC,FC,SC,SC,SC,SC,SC,Management,accenture,3,1,MNC
ECE,Female,FCD,FCD,FC,FCD,FC,FC,FC,FC,FC,CET,accenture,3,1,MNC
ECE,Male,FCD,FCD,FCD,FCD,FC,FC,FC,FC,FC,CET,accenture,3,1,MNC
CSE,Male,FC,FC,FC,FC,FC,FC,FC,FC,FC,Management,accenture,3,1,MNC
ISE,Female,FC,FCD,FC,FC,FC,FC,FC,FC,FC,COMED-K,accenture,3,1,MNC
ECE,Female,FCD,FCD,FCD,FCD,FC,FC,FC,FC,FC,CET,accenture,3,1,MNC
ECE,Male,FC,FC,FC,FC,FC,SC,SC,SC,SC,CET,accenture,3,1,MNC
ECE,Female,FCD,FCD,FCD,FCD,FC,FC,FC,FC,FC,CET,accenture,3,1,MNC
CSE,Female,FC,FC,FC,FC,SC,FC,FC,SC,FC,Management,accenture,3,1,MNC
CSE,Female,FC,FCD,FC,FCD,FC,FC,FC,FC,FC,COMED-K,accenture,3,1,MNC
CSE,Male,FCD,FCD,FC,FC,SC,SC,FC,SC,FC,CET,accenture,3,1,MNC
ECE,Female,FC,FCD,FC,FCD,FC,FC,FC,FC,FC,COMED-K,accenture,3,1,MNC
ECE,Female,FC,FC,FC,FC,FC,FC,FC,SC,FC,COMED-K,accenture,3,1,MNC
MECH,Female,FC,FCD,FC,FC,FC,FC,FC,FC,FC,COMED-K,accenture,3,1,MNC
ISE,Female,FCD,FCD,FC,FC,FC,SC,FC,SC,FC,CET,accenture,3,1,MNC
MECH,Male,FCD,FCD,SC,FC,FC,FC,FC,FC,FC,COMED-K,accenture,3,1,MNC
ISE,Male,FCD,FCD,FC,FC,FC,FC,FC,FC,FC,CET,accenture,3,1,MNC
MECH,Male,FCD,FCD,FC,FC,FC,FC,FC,FC,FC,CET,accenture,3,1,MNC
CSE,Female,FC,FCD,FC,FC,SC,FC,FC,FC,FC,Management,accenture,3,1,MNC
CSE,Female,FCD,FCD,FC,FCD,FC,FC,FC,FC,FC,COMED-K,accenture,3,1,MNC
ECE,Female,FCD,FCD,FCD,FCD,FC,FC,FC,FCD,FCD,COMED-K,accenture,3,1,MNC
ECE,Male,FCD,FCD,FC,FC,FC,FC,FC,FC,FC,CET,accenture,3,1,MNC
ECE,Male,FCD,FCD,FCD,FCD,FC,FC,FC,FC,FC,CET,accenture,3,1,MNC
ECE,Female,FCD,FCD,FC,FCD,FC,FC,FC,FC,FC,Management,accenture,3,1,MNC
ECE,Female,FC,FCD,FC,SC,SC,SC,FC,SC,SC,Management,accenture,3,1,MNC
MECH,Male,FCD,FC,FC,FC,SC,FC,FC,FC,FC,COMED-K,accenture,3,1,MNC
CSE,Female,FCD,FCD,FC,FC,FC,FC,FC,FC,FC,CET,accenture,3,1,MNC
CSE,Female,FC,FC,FC,FC,FC,FC,FC,FC,FC,CET,accenture,3,1,MNC
ISE,Female,FCD,FCD,FC,FC,SC,FC,SC,FC,FC,CET,accenture,3,1,MNC
MECH,Male,FCD,FCD,FC,FC,FC,SC,FC,FC,FC,CET,accenture,3,1,MNC
CSE,Male,FC,FC,FC,FC,FC,FC,FC,FC,FC,CET,accenture,3,1,MNC
ECE,Female,FC,FCD,FC,FC,FC,FC,FC,SC,FC,CET,accenture,3,1,MNC
ECE,Female,FC,FC,FC,FC,FC,SC,FC,FC,FC,Management,accenture,3,1,MNC
MECH,Female,FCD,FCD,FC,FCD,FC,FCD,FC,FC,FC,COMED-K,accenture,3,1,MNC
ISE,Female,FC,FCD,FC,FC,FC,FC,FC,FC,FC,COMED-K,accenture,3,1,MNC
MECH,Male,FCD,FCD,FC,FC,FC,FC,SC,SC,FC,COMED-K,accenture,3,1,MNC
ECE,Female,FCD,FCD,FCD,FCD,FCD,FC,FC,FC,FCD,CET,accenture,3,1,MNC
CSE,Female,FCD,FCD,FC,FCD,FC,FC,FC,FCD,FC,COMED-K,accenture,3,1,MNC
CSE,Female,FCD,FCD,FC,FC,FC,FC,FC,FC,FC,CET,accenture,3,1,MNC
ECE,Female,FC,FC,FC,FC,FC,FC,FC,SC,FC,Management,accenture,3,1,MNC
MECH,Male,FC,FCD,FC,FC,FC,FC,FC,FC,FC,CET,accenture,3,1,MNC
ISE,Female,FCD,FCD,FC,FCD,FC,FC,FC,FC,FC,CET,accenture,3,1,MNC
ISE,Female,FC,FCD,SC,SC,FC,FC,FC,FC,FC,COMED-K,accenture,3,1,MNC
MECH,Male,FCD,FCD,FC,FC,FC,FC,FC,FC,FC,CET,accenture,3,1,MNC
MECH,Male,FC,FC,SC,FC,FC,SC,FC,FC,FC,CET,accenture,3,1,MNC
ISE,Female,FCD,FCD,FC,FC,FC,FC,FC,FC,FC,CET,accenture,3,1,MNC
CSE,Female,FCD,FCD,FC,FC,FC,FC,FC,FC,FC,CET,accenture,3,1,MNC
MECH,Male,FC,FC,FC,FC,FC,FC,FC,SC,FC,COMED-K,accenture,3,1,MNC
CSE,Female,FCD,FCD,FC,FC,FC,FC,FC,FC,FC,CET,accenture,3,1,MNC
ISE,Female,FCD,FC,FC,FC,FC,FC,FC,FC,FC,CET,accenture,3,1,MNC
CSE,Female,FCD,FCD,FC,FC,FC,FC,FC,FC,FC,CET,accenture,3,1,MNC
ISE,Female,FCD,FCD,FC,FC,FC,FC,FC,SC,FC,CET,accenture,3,1,MNC
ISE,Male,FCD,FCD,FC,FCD,FC,FC,FC,FC,FC,CET,accenture,3,1,MNC
ECE,Female,FCD,FCD,FC,FC,FC,SC,FC,SC,FC,CET,accenture,3,1,MNC
ISE,Female,FCD,FCD,FC,FC,FC,FC,FC,FC,FC,Management,accenture,3,1,MNC
CSE,Female,FC,FC,FC,FC,SC,SC,FC,FC,FC,Management,accenture,3,1,MNC
CSE,Female,FCD,FC,FC,FC,SC,SC,SC,FC,SC,Management,accenture,3,1,MNC
CSE,Male,FC,FC,FC,FC,SC,SC,FC,FC,FC,Management,accenture,3,1,MNC
